Category,Fund Name,Ticker,7-Day Yield (with waivers),7-Day Yield (without waivers),Minimum Initial Investment,Gross Expense Ratio,Net Expense Ratio,Total Net Assets,NAV,Eligible Investors,Notes
Taxable Money Funds,Schwab Prime Advantage Money Fund - Investor Shares4,SWVXX,3.52%,3.51%,No Minimum,0.35%,0.34%,"$250,994,256,185",$1.00,Retail,
Taxable Money Funds,Schwab Prime Advantage Money Fund- Ultra Shares4,SNAXX,3.67%,3.66%,"$1,000,000",0.20%,0.19%,"$143,750,149,034",$1.00,Retail,
Taxable Money Funds,Schwab Government Money Fund - Investor Shares,SNVXX,3.42%,3.41%,No Minimum,0.35%,0.34%,"$32,895,721,578",$1.00,Retail/Institutional,
Taxable Money Funds,Schwab Government Money Fund - Ultra Shares,SGUXX,3.57%,3.56%,"$1,000,000",0.20%,0.19%,"$34,957,747,744",$1.00,Retail/Institutional,
Taxable Money Funds,Schwab Treasury Obligations Money Fund - Investor Shares,SNOXX,3.42%,3.41%,No Minimum,0.35%,0.34%,"$36,936,597,623",$1.00,Retail/Institutional,
Taxable Money Funds,Schwab Treasury Obligations Money Fund - Ultra Shares,SCOXX,3.57%,3.56%,"$1,000,000",0.20%,0.19%,"$36,106,607,930",$1.00,Retail/Institutional,
Taxable Money Funds,Schwab U.S. Treasury Money Fund -  Investor Shares,SNSXX,3.41%,3.41%,No Minimum,0.35%,0.34%,"$39,785,575,280",$1.00,Retail/Institutional,
Taxable Money Funds,Schwab U.S. Treasury Money Fund - Ultra Shares,SUTXX,3.56%,3.56%,"$1,000,000",0.20%,0.19%,"$60,815,439,763",$1.00,Retail/Institutional,
Tax-Exempt Money Funds,Schwab Municipal Money Fund - Investor Shares,SWTXX,1.38%,1.38%,No Minimum,0.35%,0.34%,"$4,486,404,159",$1.00,Retail,
Tax-Exempt Money Funds,Schwab Municipal Money Fund - Ultra Shares,SWOXX,1.53%,1.53%,"$1,000,000",0.20%,0.19%,"$14,659,666,079",$1.00,Retail,
Tax-Exempt Money Funds,Schwab AMT Tax-Free Money Fund - Investor Shares,SWWXX,1.41%,1.39%,No Minimum,0.36%,0.34%,"$1,317,457,123",$1.00,Retail,
Tax-Exempt Money Funds,Schwab AMT Tax-Free Money Fund - Ultra Shares,SCTXX,1.56%,1.54%,"$1,000,000",0.21%,0.19%,"$2,783,925,163",$1.00,Retail,
Tax-Exempt Money Funds,Schwab California Municipal Money Fund - Investor Shares,SWKXX,1.13%,1.13%,No Minimum,0.35%,0.34%,"$2,528,317,606",$1.00,Retail,
Tax-Exempt Money Funds,Schwab California Municipal Money Fund - Ultra Shares,SCAXX,1.28%,1.28%,"$1,000,000",0.20%,0.19%,"$6,810,316,150",$1.00,Retail,
Tax-Exempt Money Funds,Schwab New York Municipal Money Fund - Investor Shares,SWYXX,1.20%,1.18%,No Minimum,0.36%,0.34%,"$1,094,571,265",$1.00,Retail,
Tax-Exempt Money Funds,Schwab New York Municipal Money Fund - Ultra Shares,SNYXX,1.35%,1.33%,"$1,000,000",0.21%,0.19%,"$2,048,355,527",$1.00,Retail,
Sweep Money Fund,Schwab Government Money Fund - Sweep Shares,SWGXX,3.32%,3.31%,No Minimum,0.45%,0.44%,"$23,166,163,581",$1.00,--,
Money Market ETF,Schwab Government Money Market ETF7,SGVT,3.45%,,,,0.28%,"$488,809,105",$100.58,Retail/Institutional,ETF; NAV not stable; trades on exchange
